10-29-2025 14:41:10 RAM 3733/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [14%@729,1%@729,1%@729,2%@729,43%@729,14%@729,15%@729,3%@729,3%@729,3%@729,6%@729,17%@729] GR3D_FREQ 0% cpu@42.281C soc2@38.656C soc0@38.906C tj@42.281C soc1@39.625C VDD_GPU_SOC 3971mW/3644mW VDD_CPU_CV 793mW/712mW VIN_SYS_5V0 4715mW/4566mW
10-29-2025 14:41:11 RAM 3733/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [16%@729,13%@729,5%@729,9%@729,54%@729,3%@729,3%@729,16%@729,2%@729,4%@729,6%@729,17%@729] GR3D_FREQ 0% cpu@42.468C soc2@38.656C soc0@38.906C tj@42.468C soc1@39.656C VDD_GPU_SOC 3971mW/3652mW VDD_CPU_CV 793mW/714mW VIN_SYS_5V0 4815mW/4572mW
10-29-2025 14:41:12 RAM 3734/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [14%@729,6%@729,3%@729,0%@729,44%@729,13%@729,16%@729,4%@729,1%@729,0%@729,6%@729,18%@729] GR3D_FREQ 0% cpu@42.468C soc2@38.656C soc0@38.875C tj@42.468C soc1@39.687C VDD_GPU_SOC 3971mW/3660mW VDD_CPU_CV 793mW/716mW VIN_SYS_5V0 4715mW/4576mW
10-29-2025 14:41:13 RAM 3733/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [14%@729,5%@729,3%@729,5%@729,47%@729,9%@729,18%@729,1%@729,1%@729,2%@729,5%@729,17%@729] GR3D_FREQ 2% cpu@42.812C soc2@38.531C soc0@38.906C tj@42.812C soc1@39.781C VDD_GPU_SOC 3969mW/3667mW VDD_CPU_CV 793mW/717mW VIN_SYS_5V0 4815mW/4581mW
10-29-2025 14:41:14 RAM 3733/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@729,4%@729,1%@729,2%@729,55%@729,1%@729,21%@729,1%@729,1%@729,0%@729,5%@729,19%@729] GR3D_FREQ 0% cpu@42.406C soc2@38.656C soc0@38.906C tj@42.406C soc1@39.593C VDD_GPU_SOC 3971mW/3674mW VDD_CPU_CV 793mW/719mW VIN_SYS_5V0 4715mW/4584mW
10-29-2025 14:41:15 RAM 3733/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [17%@729,9%@729,9%@729,5%@1497,54%@729,1%@729,19%@729,0%@729,7%@729,3%@729,6%@729,17%@729] GR3D_FREQ 48% cpu@42.5C soc2@38.656C soc0@38.968C tj@42.5C soc1@39.656C VDD_GPU_SOC 3969mW/3681mW VDD_CPU_CV 793mW/721mW VIN_SYS_5V0 4815mW/4590mW
10-29-2025 14:41:16 RAM 3733/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [11%@729,8%@1497,2%@1497,4%@1497,55%@729,0%@729,19%@729,0%@729,9%@729,0%@729,6%@729,18%@729] GR3D_FREQ 47% cpu@42.375C soc2@38.687C soc0@38.937C tj@42.593C soc1@39.687C VDD_GPU_SOC 3969mW/3688mW VDD_CPU_CV 793mW/722mW VIN_SYS_5V0 4815mW/4595mW
10-29-2025 14:41:17 RAM 3733/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@729,2%@729,4%@729,3%@729,36%@729,20%@729,18%@729,2%@729,3%@729,0%@729,14%@729,14%@729] GR3D_FREQ 18% cpu@42.375C soc2@38.625C soc0@38.968C tj@42.375C soc1@39.687C VDD_GPU_SOC 3971mW/3694mW VDD_CPU_CV 793mW/724mW VIN_SYS_5V0 4815mW/4599mW
10-29-2025 14:41:18 RAM 3733/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [11%@1497,3%@1497,4%@1497,4%@1497,0%@729,54%@729,20%@729,1%@729,5%@729,6%@729,19%@729,2%@729] GR3D_FREQ 44% cpu@42.687C soc2@38.625C soc0@38.937C tj@42.687C soc1@39.718C VDD_GPU_SOC 3971mW/3700mW VDD_CPU_CV 793mW/725mW VIN_SYS_5V0 4815mW/4604mW
10-29-2025 14:41:19 RAM 3732/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [9%@729,5%@1497,3%@1497,0%@1497,18%@729,39%@729,11%@729,9%@729,1%@883,5%@883,18%@883,3%@883] GR3D_FREQ 0% cpu@42.312C soc2@38.593C soc0@38.906C tj@42.312C soc1@39.687C VDD_GPU_SOC 3971mW/3705mW VDD_CPU_CV 793mW/727mW VIN_SYS_5V0 4715mW/4606mW
10-29-2025 14:41:20 RAM 3733/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [9%@729,10%@729,5%@729,3%@729,24%@729,14%@729,6%@729,19%@729,21%@729,21%@729,7%@729,13%@729] GR3D_FREQ 0% cpu@42.437C soc2@38.656C soc0@39.062C tj@42.437C soc1@39.718C VDD_GPU_SOC 3971mW/3711mW VDD_CPU_CV 793mW/728mW VIN_SYS_5V0 4715mW/4609mW
10-29-2025 14:41:21 RAM 3737/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [9%@729,12%@729,3%@1497,3%@1497,35%@729,0%@729,9%@729,20%@729,19%@729,23%@729,5%@729,4%@729] GR3D_FREQ 0% cpu@42.781C soc2@38.562C soc0@38.906C tj@42.781C soc1@39.781C VDD_GPU_SOC 3971mW/3716mW VDD_CPU_CV 793mW/729mW VIN_SYS_5V0 4815mW/4613mW
10-29-2025 14:41:22 RAM 3734/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [11%@729,6%@729,4%@729,2%@729,54%@729,1%@729,9%@729,28%@729,8%@729,2%@729,3%@729,6%@729] GR3D_FREQ 0% cpu@42.375C soc2@38.625C soc0@38.937C tj@42.375C soc1@39.843C VDD_GPU_SOC 3969mW/3721mW VDD_CPU_CV 793mW/731mW VIN_SYS_5V0 4815mW/4617mW
10-29-2025 14:41:23 RAM 3734/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [24%@1497,4%@1497,15%@1497,1%@1497,48%@729,14%@729,7%@729,25%@729,27%@729,17%@729,9%@729,2%@729] GR3D_FREQ 0% cpu@42.531C soc2@38.656C soc0@38.937C tj@42.531C soc1@39.75C VDD_GPU_SOC 3971mW/3726mW VDD_CPU_CV 1190mW/740mW VIN_SYS_5V0 4815mW/4620mW
10-29-2025 14:41:24 RAM 3734/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [18%@729,3%@729,1%@729,1%@729,26%@729,22%@729,12%@729,29%@729,2%@729,9%@729,11%@729,13%@729] GR3D_FREQ 0% cpu@42.5C soc2@38.656C soc0@39.093C tj@42.5C soc1@39.781C VDD_GPU_SOC 3971mW/3730mW VDD_CPU_CV 793mW/741mW VIN_SYS_5V0 4815mW/4624mW
10-29-2025 14:41:25 RAM 3734/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [26%@729,0%@729,0%@729,1%@729,23%@729,13%@729,10%@729,19%@729,22%@729,0%@729,2%@729,10%@729] GR3D_FREQ 13% cpu@42.312C soc2@38.593C soc0@38.968C tj@42.312C soc1@39.843C VDD_GPU_SOC 3971mW/3735mW VDD_CPU_CV 793mW/742mW VIN_SYS_5V0 4715mW/4626mW
10-29-2025 14:41:26 RAM 3737/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [24%@729,1%@729,1%@729,3%@729,22%@729,0%@729,11%@729,19%@729,34%@729,9%@729,1%@729,1%@729] GR3D_FREQ 0% cpu@42.531C soc2@38.687C soc0@38.968C tj@42.406C soc1@39.875C VDD_GPU_SOC 3971mW/3739mW VDD_CPU_CV 793mW/742mW VIN_SYS_5V0 4815mW/4629mW
10-29-2025 14:41:27 RAM 3738/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [25%@729,2%@729,7%@729,2%@729,21%@729,3%@729,10%@729,18%@729,4%@729,33%@729,6%@729,0%@729] GR3D_FREQ 49% cpu@42.406C soc2@38.625C soc0@39.031C tj@42.406C soc1@39.75C VDD_GPU_SOC 3971mW/3743mW VDD_CPU_CV 793mW/743mW VIN_SYS_5V0 4815mW/4633mW
10-29-2025 14:41:28 RAM 3737/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [13%@729,9%@729,7%@729,4%@729,22%@729,0%@729,8%@729,18%@729,5%@729,31%@729,6%@729,24%@729] GR3D_FREQ 1% cpu@42.375C soc2@38.718C soc0@39.031C tj@42.375C soc1@39.75C VDD_GPU_SOC 3971mW/3747mW VDD_CPU_CV 793mW/744mW VIN_SYS_5V0 4815mW/4636mW
10-29-2025 14:41:29 RAM 3737/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [9%@729,34%@729,7%@729,2%@729,22%@729,0%@729,8%@729,19%@729,0%@729,14%@729,0%@729,0%@729] GR3D_FREQ 7% cpu@42.5C soc2@38.562C soc0@39C tj@42.5C soc1@39.875C VDD_GPU_SOC 3971mW/3751mW VDD_CPU_CV 793mW/745mW VIN_SYS_5V0 4715mW/4637mW
10-29-2025 14:41:30 RAM 3737/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [11%@729,34%@729,7%@729,4%@729,24%@729,0%@729,6%@729,19%@729,0%@729,14%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@42.25C soc2@38.687C soc0@39C tj@42.25C soc1@39.906C VDD_GPU_SOC 3969mW/3755mW VDD_CPU_CV 793mW/746mW VIN_SYS_5V0 4715mW/4638mW
10-29-2025 14:41:31 RAM 3739/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [10%@729,35%@729,2%@729,4%@729,25%@729,0%@729,7%@729,19%@729,1%@729,14%@729,0%@729,3%@729] GR3D_FREQ 0% cpu@42.5C soc2@38.656C soc0@38.937C tj@42.5C soc1@39.687C VDD_GPU_SOC 3969mW/3758mW VDD_CPU_CV 793mW/747mW VIN_SYS_5V0 4715mW/4640mW
