sync_event_id,ts_zed,ts_left,ts_right,sys_diff_zed_left(s),sys_diff_zed_right(s),sys_diff_left_right(s),sys_diff_max(s)
1761712838139376547,2509.643199,2509.618626,2509.596631,0.024573,0.046568,0.021994,0.046568
1761712838205726566,2509.709816,2509.682641,2509.660617,0.027175,0.049198,0.022024,0.049198
1761712838272728948,2509.776433,2509.746656,2509.725111,0.029778,0.051322,0.021544,0.051322
1761712838339444328,2509.843172,2509.810581,2509.788399,0.032592,0.054773,0.022182,0.054773
1761712838406552232,2509.909814,2509.87459,2509.852597,0.035224,0.057217,0.021993,0.057217
1761712838472694438,2509.976403,2509.938577,2509.91659,0.037827,0.059813,0.021986,0.059813
1761712838539142939,2510.043142,2509.998563,2509.976587,0.04458,0.066556,0.021976,0.066556
1761712838605721792,2510.109759,2510.062349,2510.104583,0.04741,0.005176,-0.042234,0.04741
1761712838672239469,2510.176376,2510.126344,2510.16855,0.050033,0.007827,-0.042206,0.050033
1761712838738914310,2510.243115,2510.190339,2510.232545,0.052776,0.01057,-0.042205,0.052776
1761712838805735308,2510.309734,2510.254536,2510.292613,0.055198,0.01712,-0.038077,0.055198
1761712838873281140,2510.376342,2510.314748,2510.356536,0.061594,0.019806,-0.041788,0.061594
1761712838939410771,2510.443084,2510.378526,2510.420541,0.064558,0.022542,-0.042015,0.064558
1761712839005631655,2510.509699,2510.506291,2510.48455,0.003408,0.025149,0.021741,0.025149
1761712839072328090,2510.576439,2510.570294,2510.54894,0.006145,0.027499,0.021354,0.027499
1761712839138953271,2510.643053,2510.634509,2510.612692,0.008544,0.030362,0.021818,0.030362
1761712839206143851,2510.709671,2510.69448,2510.67251,0.015191,0.037161,0.02197,0.037161
1761712839272308962,2510.776434,2510.758503,2510.736493,0.01793,0.039941,0.022011,0.039941
1761712839339342315,2510.843045,2510.822468,2510.800494,0.020576,0.04255,0.021974,0.04255
1761712839405826041,2510.909664,2510.88674,2510.864717,0.022923,0.044947,0.022024,0.044947
1761712839472725619,2510.97642,2510.950484,2510.928692,0.025936,0.047728,0.021791,0.047728
1761712839536564758,2511.043037,2511.010453,2510.988456,0.032584,0.05458,0.021996,0.05458
1761712839604993546,2511.109672,2511.074382,2511.052492,0.03529,0.05718,0.02189,0.05718
1761712839660748479,2511.176382,2511.138211,2511.116428,0.038171,0.059954,0.021783,0.059954
1761712839739116051,2511.243204,2511.202422,2511.18038,0.040782,0.062824,0.022042,0.062824
1761712839806661370,2511.309742,2511.266421,2511.244396,0.043321,0.065346,0.022025,0.065346
1761712839872551669,2511.376359,2511.330468,2511.368401,0.045891,0.007958,-0.037933,0.045891
1761712839938970284,2511.442973,2511.390399,2511.432409,0.052574,0.010563,-0.042011,0.052574
1761712840005644355,2511.509721,2511.454176,2511.496429,0.055545,0.013292,-0.042253,0.055545
1761712840072208101,2511.576344,2511.518164,2511.560201,0.05818,0.016144,-0.042037,0.05818
1761712840139069281,2511.642954,2511.58216,2511.624353,0.060794,0.018601,-0.042193,0.060794
1761712840205093992,2511.709689,2511.646336,2511.688347,0.063353,0.021342,-0.042011,0.063353
1761712840272010749,2511.776304,2511.710276,2511.748398,0.066028,0.027906,-0.038121,0.066028
1761712840339290147,2511.842934,2511.834315,2511.812403,0.008619,0.03053,0.021911,0.03053
1761712840405539854,2511.909675,2511.898117,2511.876176,0.011558,0.033498,0.021941,0.033498
1761712840472227648,2511.976283,2511.962104,2511.94012,0.014179,0.036163,0.021984,0.036163
1761712840538863897,2512.0429,2512.026312,2512.004358,0.016588,0.038543,0.021954,0.038543
1761712840605451320,2512.109647,2512.086092,2512.064106,0.023554,0.045541,0.021987,0.045541
1761712840671951138,2512.176245,2512.150082,2512.128311,0.026162,0.047934,0.021771,0.047934
1761712840739243431,2512.242997,2512.214099,2512.192132,0.028898,0.050864,0.021967,0.050864
1761712840805345892,2512.309612,2512.278096,2512.256115,0.031516,0.053496,0.021981,0.053496
1761712840872026039,2512.376228,2512.342082,2512.320064,0.034146,0.056164,0.022018,0.056164
1761712840938993573,2512.442971,2512.406066,2512.384261,0.036905,0.058711,0.021805,0.058711
1761712841005238225,2512.509581,2512.466044,2512.444254,0.043536,0.065327,0.021791,0.065327
1761712841072186303,2512.576206,2512.530046,2512.572106,0.04616,0.004101,-0.04206,0.04616
1761712841139003486,2512.642946,2512.594048,2512.636033,0.048899,0.006913,-0.041986,0.048899
1761712841205462827,2512.70956,2512.658242,2512.700205,0.051318,0.009355,-0.041963,0.051318
1761712841271996366,2512.776205,2512.722026,2512.760212,0.054179,0.015992,-0.038187,0.054179
1761712841339081227,2512.84295,2512.782486,2512.824492,0.060464,0.018458,-0.042006,0.060464
1761712841405156649,2512.909554,2512.846244,2512.888029,0.06331,0.021524,-0.041786,0.06331
1761712841472093753,2512.976164,2512.909984,2512.952181,0.06618,0.023983,-0.042197,0.06618
1761712841538944947,2513.042895,2513.038018,2513.016205,0.004877,0.02669,0.021813,0.02669
1761712841605541039,2513.109511,2513.101967,2513.080174,0.007544,0.029337,0.021793,0.029337
1761712841672580081,2513.17626,2513.162244,2513.139954,0.014016,0.036306,0.02229,0.036306
1761712841739273920,2513.242891,2513.225936,2513.203973,0.016955,0.038918,0.021963,0.038918
1761712841805439922,2513.309486,2513.289944,2513.267974,0.019542,0.041512,0.02197,0.041512
1761712841872197177,2513.376235,2513.354133,2513.332127,0.022101,0.044108,0.022007,0.044108
1761712841939224797,2513.442848,2513.417954,2513.39614,0.024894,0.046708,0.021814,0.046708
1761712842005547708,2513.509459,2513.4821,2513.460124,0.027359,0.049335,0.021975,0.049335
1761712842072555200,2513.576206,2513.541911,2513.520121,0.034295,0.056086,0.02179,0.056086
1761712842139142394,2513.642823,2513.605912,2513.583912,0.036911,0.058911,0.022,0.058911
1761712842205586054,2513.709443,2513.669937,2513.647887,0.039506,0.061556,0.02205,0.061556
1761712842272313486,2513.776174,2513.733893,2513.711901,0.042281,0.064274,0.021993,0.064274
1761712842338801045,2513.842795,2513.797902,2513.836073,0.044893,0.006722,-0.038171,0.044893
1761712842405347187,2513.909535,2513.858001,2513.900276,0.051533,0.009259,-0.042275,0.051533
1761712842471800030,2513.976153,2513.921877,2513.96408,0.054277,0.012073,-0.042203,0.054277
1761712842538426931,2514.042773,2513.985851,2514.028076,0.056922,0.014696,-0.042225,0.056922
1761712842605356385,2514.109513,2514.049855,2514.092079,0.059658,0.017434,-0.042224,0.059658
1761712842672597320,2514.176139,2514.113833,2514.155844,0.062306,0.020295,-0.042011,0.062306
1761712842738596588,2514.24274,2514.177845,2514.216196,0.064895,0.026544,-0.038351,0.064895
1761712842805620366,2514.309481,2514.301818,2514.280039,0.007663,0.029442,0.021779,0.029442
1761712842872229381,2514.376108,2514.365817,2514.34403,0.010291,0.032078,0.021787,0.032078
1761712842939017190,2514.442718,2514.429793,2514.408028,0.012925,0.034691,0.021765,0.034691
1761712843005896091,2514.509469,2514.493815,2514.471998,0.015653,0.037471,0.021818,0.037471
1761712843072744913,2514.576099,2514.553809,2514.532037,0.022289,0.044061,0.021772,0.044061
1761712843139518192,2514.64268,2514.617773,2514.595994,0.024907,0.046686,0.021779,0.046686
1761712843206613094,2514.70944,2514.68177,2514.65999,0.02767,0.04945,0.02178,0.04945
1761712843273292018,2514.776069,2514.745954,2514.723814,0.030115,0.052255,0.02214,0.052255
1761712843340354860,2514.842943,2514.809759,2514.78797,0.033184,0.054973,0.021789,0.054973
1761712843406597103,2514.909402,2514.873769,2514.851975,0.035633,0.057427,0.021795,0.057427
